rebalance_month,symbol,rank,adv_usd,n_days_trailing
2017-04,HON,82,386390605.42,253
2017-04,COP,83,385208562.5,253
2017-04,DOW,84,385197282.28,253
2017-04,DD,85,385197282.28,253
2017-04,MMM,86,373022837.18,253
2017-04,LLY,87,371133031.36,253
2017-04,REGN,88,367853716.77,253
2017-04,USB,89,357563275.17,253
2017-04,TEVA,90,356608132.91,253
2017-04,AMAT,91,355510590.38,253
2017-04,OXY,92,354594775.4,253
2017-04,VLO,93,350974856.6,253
2017-04,MET,94,345641360.42,253
2017-04,AAL,95,343616350.12,253
2017-04,AXP,96,335578602.15,253
2017-04,PYPL,97,332251373.98,253
2017-04,EOG,98,330760471.5,253
2017-04,CSX,99,330658415.36,253
2017-04,B,100,330165401.17,253
2017-04,KR,101,322650157.86,253
2017-04,MCK,102,322248424.82,253
2017-04,KMI,103,320710436.32,253
2017-04,EBAY,104,319476746.15,253
2017-04,SPG,105,318895156.79,253
2017-04,UPS,106,315858177.92,253
2017-04,ESRX,107,315394154.82,253
2017-04,CTSH,108,312208033.02,253
2017-04,LUV,109,310502961.51,253
2017-04,SHPG,110,308796585.71,253
2017-04,APC,111,304953401.17,253
2017-04,SCHW,112,304686883.38,253
2017-04,ACN,113,302439123.52,253
2017-04,FDX,114,297751960.79,253
2017-04,HUM,115,296616816.73,253
2017-04,WDC,116,296370306.23,253
2017-04,PNC,117,295095669.77,253
2017-04,DE,118,294009219.12,253
2017-04,NEM,119,293975825.12,253
2017-04,SO,120,293813812.08,253
2017-04,WYNN,121,293150117.7,253
2017-04,JD,122,292532926.5,253
2017-04,KHC,123,288871618.79,253
2017-04,FOXA,124,287948680.32,253
2017-04,ALXN,125,287192983.24,253
2017-04,TJX,126,286060275.61,253
2017-04,UAL,127,285660795.62,253
2017-04,NEE,128,282407220.12,253
2017-04,EXE,129,276870658.44,253
2017-04,DUK,130,276371977.28,253
2017-04,LYB,131,275913648.87,253
2017-04,ADBE,132,275690139.95,253
2017-04,WMB,133,272695244.19,253
2017-04,DVN,134,271211278.25,253
2017-04,JCI,135,270455122.99,253
2017-04,CL,136,269563030.82,253
2017-04,NTES,137,268880897.16,253
2017-04,DG,138,268133176.04,253
2017-04,RTN,139,267963811.42,253
2017-04,EA,140,267953778.87,253
2017-04,COF,141,267713922.12,253
2017-04,M,142,266257012.93,253
2017-04,MPC,143,265844500.08,253
2017-04,DHR,144,264951139.57,253
2017-04,STZ,145,264252336.85,253
2017-04,TMO,146,261805202.66,253
2017-04,ELV,147,261149411.28,253
2017-04,BAX,148,261146834.87,253
2017-04,MYL,149,259639918.72,253
2017-04,MAR,150,259499226.83,253
2017-05,AAPL,1,3898968254.02,251
2017-05,AMZN,2,2936599562.63,251
2017-05,META,3,2571471901.62,251
2017-05,BAC,4,1951359171.44,251
2017-05,MSFT,5,1711723161.06,251
2017-05,GOOGL,6,1417110220.88,251
2017-05,BABA,7,1342505163.0,251
2017-05,JPM,8,1297324887.72,251
2017-05,GOOG,9,1287453160.33,251
2017-05,WFC,10,1228674567.34,251
2017-05,NVDA,11,1160985716.1,251
2017-05,PG,12,1116470693.84,251
2017-05,XOM,13,1110543608.04,251
2017-05,C,14,1096816261.16,251
2017-05,TSLA,15,1090655781.67,251
2017-05,GE,16,1084479820.4,251
2017-05,T,17,954120953.32,251
2017-05,JNJ,18,914091499.49,251
2017-05,AGN,19,910742745.63,251
2017-05,PFE,20,888430776.32,251
2017-05,INTC,21,856555266.17,251
2017-05,V,22,825161170.64,251
2017-05,GILD,23,816488524.81,251
2017-05,VZ,24,808167679.31,251
2017-05,DIS,25,804926026.17,251
2017-05,CVX,26,787285485.09,251
2017-05,BKNG,27,757160392.47,251
2017-05,GS,28,754281480.49,251
2017-05,CSCO,29,736826337.16,251
2017-05,HD,30,688874273.69,251
2017-05,CMCSA,31,687228356.36,251
2017-05,BMY,32,680674018.74,251
2017-05,MRK,33,679984609.75,251
2017-05,WMT,34,679647564.7,251
2017-05,QCOM,35,672192484.56,251
2017-05,IBM,36,662508198.45,251
2017-05,CHTR,37,632406721.72,251
2017-05,BRK.B,38,628090521.53,251
2017-05,KO,39,613516346.01,251
2017-05,MCD,40,610566891.03,251
2017-05,AMGN,41,602113289.19,251
2017-05,CVS,42,596871879.0,251
2017-05,UNH,43,578697707.53,251
2017-05,ORCL,44,575531979.21,251
2017-05,BA,45,566561576.92,251
2017-05,NKE,46,562685188.4,251
2017-05,SBUX,47,549325037.77,251
2017-05,MU,48,530251192.86,251
2017-05,BIIB,49,529473795.82,251
2017-05,SLB,50,525703304.43,251
2017-05,CELG,51,514422555.25,251
2017-05,ABBV,52,512271928.64,251
2017-05,PM,53,509242894.55,251
2017-05,AVGO,54,508393532.14,251
2017-05,LMT,55,507696998.36,251
2017-05,PEP,56,497869988.33,251
2017-05,GM,57,496885957.56,251
2017-05,BIDU,58,495714822.28,251
2017-05,BHC,59,481780394.46,251
2017-05,F,60,471289638.55,251
2017-05,MS,61,469701672.86,251
2017-05,AMD,62,464781018.89,251
2017-05,CAT,63,464213984.31,251
2017-05,MO,64,461915467.4,251
2017-05,CMG,65,459486976.06,251
2017-05,TGT,66,454449447.24,251
2017-05,CRM,67,452391399.93,251
2017-05,MDT,68,450717133.34,251
2017-05,LOW,69,444012169.77,251
2017-05,HAL,70,440734741.12,251
2017-05,DAL,71,439689772.22,251
2017-05,AIG,72,418450749.5,251
2017-05,FCX,73,415967139.76,251
2017-05,UNP,74,414396136.93,251
2017-05,ABT,75,409092061.87,251
2017-05,COST,76,407746219.86,251
2017-05,TXN,77,403603070.06,251
2017-05,HON,78,394603875.55,251
2017-05,MA,79,394124200.62,251
2017-05,RTX,80,392617229.73,251
2017-05,MDLZ,81,387955745.81,251
2017-05,DOW,82,385489228.14,251
2017-05,DD,83,385489228.14,251
2017-05,NXPI,84,382292136.94,251
2017-05,LLY,85,379259060.12,251
2017-05,MMM,86,377738492.2,251
2017-05,COP,87,377264725.68,251
2017-05,AMAT,88,362986373.56,251
2017-05,REGN,89,361373834.96,251
2017-05,USB,90,360552452.61,251
2017-05,OXY,91,355320634.5,251
2017-05,MET,92,350020866.26,251
2017-05,VLO,93,348529099.29,251
2017-05,TEVA,94,347764661.33,251
2017-05,CSX,95,342754494.14,251
2017-05,AAL,96,338298261.6,251
2017-05,AXP,97,337625875.34,251
2017-05,PYPL,98,335567206.66,251
2017-05,B,99,328869109.98,251
2017-05,EOG,100,327497983.85,251
2017-05,SPG,101,324451378.09,251
2017-05,UPS,102,321678137.1,251
2017-05,EBAY,103,321224200.9,251
2017-05,MCK,104,321149181.57,251
2017-05,ESRX,105,319330482.26,251
2017-05,KR,106,318080790.12,251
2017-05,SCHW,107,316207214.31,251
2017-05,CTSH,108,315356496.7,251
2017-05,KMI,109,313192746.27,251
2017-05,FDX,110,309957593.35,251
2017-05,WDC,111,309252640.71,251
2017-05,LUV,112,307856081.67,251
2017-05,HUM,113,307025872.63,251
2017-05,PNC,114,302757108.36,251
2017-05,APC,115,302464222.42,251
2017-05,ACN,116,302069407.42,251
2017-05,SO,117,298449352.58,251
2017-05,NEM,118,292715859.84,251
2017-05,DE,119,292608617.05,251
2017-05,TJX,120,290204046.3,251
2017-05,KHC,121,289117642.19,251
2017-05,UAL,122,288668325.63,251
